Year,PAT ,PE,PU,PIB ,CM,INF,MM,ATMs,BRCS,ATMsHS,,,,,,
2004,10395657,10,16411301,5.96E+10,10.8299999,1.49344403,5.03E+10,1712,2032,0,,,,,,
2005,10618681,11,16790498,6.23E+10,11.0100002,0.98264166,5.74E+10,3115,2226,889,,,,,,
2006,10841392,10,17188176,6.86E+10,9.67000008,3.28476167,6.83E+10,2753,2461,292,,,,,,
2007,11058307,11,17589282,7.90E+10,9.56000042,2.04208513,8.62E+10,3119,2760,359,,,,,,
2008,11268009,11,17995882,9.25E+10,9.56999969,3.71484311,1.03E+11,3624,3151,473,,,,,,
2009,11361433,11,18409274,9.29E+10,8.96000004,0.971863,1.06E+11,4136,4435,0,,,,,,
2010,11445798,11,18835465,9.32E+10,9.09000015,0.9935574,1.06E+11,4535,4796,0,,,,,,
2011,11533784,11,19275316,1.01E+11,8.90999985,0.90692491,1.17E+11,5010,5117,0,,,,,,
2012,11546217,11,19725140,9.83E+10,8.98999977,1.2871224,1.15E+11,5461,5451,10,,,,,,
2013,11708832,11,20180706,1.07E+11,9.22999954,1.88065467,1.22E+11,5881,5718,163,,,,,,
2014,11827998,11,20636838,1.19E+11,9.69999981,0.44231005,1.29E+11,6221,5922,299,,,,,,
2015,11854873,11,21088840,1.10E+11,9.46000004,1.55790711,1.18E+11,6509,6139,370,,,,,,
2016,11796246,11,21541817,1.12E+11,9.30000019,1.63531114,1.23E+11,6801,6283,518,,,,,,
2017,11696824,11,21994745,1.19E+11,9.22500038,0.75466325,1.31E+11,6994,6388,606,,,,,,
2018,11843455,11,22437808,1.27E+11,9.23900032,1.80391671,1.41E+11,7241,6484,757,,,,,,
2019,11992890,12,22869599,1.29E+11,9.24199963,0.30338604,1.43E+11,7544,6503,1041,,,,,,
